well_id,cov_m_GR,cov_m_RHOB,cov_m_NPHI,cov_m_DTC,cov_m_PEF,cov_m_SP,cov_m_CALI,cov_m_RDEP,cov_m_RMED,cov_m_RSHA,cov_m_DTS
A12-A-04,0.0,432.4,146.0,0.0,408.7,0.0,0.0,0.0,0.0,0.0,0.0
A12-A-04-S1,0.0,523.8,529.0,0.0,421.8,0.0,0.0,0.0,0.0,0.0,0.0
A12-A-05,0.0,1145.0,1141.5,0.0,1119.8,0.0,0.0,0.0,0.0,0.0,0.0
A12-A-06,0.0,932.5,929.9,0.0,900.7,0.0,0.0,0.0,0.0,0.0,0.0
A12-A-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A12-A-07-S1,0.0,1033.4,1030.2,0.0,991.2,0.0,0.0,0.0,0.0,0.0,0.0
A12-A-07-S2,576.1,0.0,576.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A12-A-08,563.7,563.6,556.0,0.0,497.1,0.0,0.0,0.0,0.0,0.0,0.0
A12-A-09,0.0,677.4,667.1,0.0,525.3,0.0,0.0,0.0,0.0,0.0,0.0
A12-A-10,149.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A14-01,2960.1,2323.3,848.9,2307.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A14-02,2655.7,1802.7,317.9,1802.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A15-01,2978.8,1823.2,1826.7,2734.5,0.0,0.0,1825.9,768.9,0.0,834.1,0.0
A15-02,779.8,779.8,613.1,779.8,0.0,0.0,779.8,0.0,0.0,0.0,0.0
A15-03,1306.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A15-04,997.9,641.8,636.7,624.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A15-04-S1,1017.1,618.6,618.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A15-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A16-01,2652.1,940.6,939.5,2087.7,0.0,1916.4,1082.2,1878.0,0.0,0.0,0.0
A17-01,2978.7,1674.1,0.0,2927.8,0.0,2517.3,2660.6,2497.5,2498.1,0.0,0.0
A18-01,4029.9,3625.3,1492.1,3607.3,0.0,3616.3,3624.2,1485.7,0.0,1489.4,0.0
A18-02,1312.2,1093.2,1086.9,1264.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A18-02-S1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A18-02-S2,418.8,0.0,0.0,0.0,0.0,418.8,0.0,0.0,0.0,418.8,0.0
A18-A-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A18-A-02,0.0,929.9,928.0,0.0,886.5,0.0,0.0,0.0,0.0,0.0,0.0
A18-A-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A18-A-04,885.4,884.1,876.9,0.0,728.9,0.0,0.0,0.0,0.0,0.0,0.0
A18-A-05,0.0,0.0,938.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADK-GT-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADK-GT-01-S1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADK-GT-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADK-GT-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADK-GT-04,1784.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AHO-E-55,0.0,0.0,0.0,0.0,0.0,724.2,0.0,0.0,0.0,0.0,0.0
AKM-01,2494.0,684.3,0.0,2046.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKM-02,2471.9,533.2,0.0,2195.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKM-03,2404.9,527.6,0.0,2088.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKM-04,0.0,0.0,0.0,2151.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKM-05,0.0,0.0,0.0,256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKM-06,0.0,0.0,0.0,1108.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKM-07,1859.4,0.0,0.0,1506.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKM-08,943.1,125.7,127.9,945.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKM-10-S1,0.0,0.0,0.0,790.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKM-11,2497.4,328.0,299.2,1399.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKM-13,0.0,308.5,308.5,916.1,0.0,0.0,305.1,916.1,0.0,916.1,0.0
AKM-14-S1,2169.7,990.1,999.9,885.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKM-15,0.0,0.0,0.0,1599.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKM-16,2533.0,558.1,558.1,1457.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKM-17,0.0,0.0,0.0,1852.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALD-01,0.0,0.0,0.0,0.0,0.0,999.9,0.0,0.0,0.0,0.0,0.0
ALE-01,0.0,0.0,0.0,709.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALK-01,2585.0,725.0,730.0,1810.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALM-01,2348.9,99.7,0.0,1952.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALO-01-S1,3137.8,889.7,889.7,2549.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALT-01,0.0,0.0,0.0,0.0,0.0,345.2,0.0,0.0,0.0,0.0,0.0
AME-01,0.0,0.0,0.0,3614.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AME-02-S1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AME-101,3678.8,3124.0,1585.7,3109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AME-102-S3,1620.5,0.0,0.0,0.0,0.0,0.0,1567.1,0.0,0.0,0.0,0.0
AME-103,4218.0,1743.0,333.6,3908.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AME-103-S1,3852.5,979.2,134.7,3545.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AME-104,3908.0,578.7,564.6,2469.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AME-105,2457.5,0.0,0.0,2205.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AME-106,3387.7,1642.1,1200.6,1760.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AME-107,0.0,1.2,0.0,0.0,545.7,0.0,0.0,0.0,0.0,0.0,0.0
AME-107-S1,0.0,805.0,0.0,0.0,817.9,682.1,0.0,0.0,0.0,0.0,0.0
AME-201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AME-202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AME-202-S1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AME-203,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AME-203-S1,989.4,989.4,973.5,983.3,974.9,0.0,989.4,0.0,0.0,0.0,0.0
AME-203-S3,242.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AME-204-S1,328.9,0.0,0.0,328.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AME-205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AME-205-S1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AME-205-S2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AML-02,0.0,0.0,0.0,3248.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMN-01,0.0,0.0,0.0,3490.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMN-02,1870.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMN-03,1786.0,1779.7,0.0,0.0,0.0,0.0,988.8,0.0,0.0,0.0,0.0
AMN-03-S1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMO-01,0.0,0.0,0.0,0.0,0.0,448.2,0.0,0.0,0.0,0.0,0.0
AMO-02,0.0,0.0,0.0,0.0,0.0,449.9,0.0,0.0,0.0,0.0,0.0
AMO-03,0.0,0.0,0.0,0.0,0.0,609.4,0.0,0.0,0.0,0.0,0.0
AMO-04,400.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMR-01,2842.9,2571.6,294.6,2676.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMR-12,3321.1,235.3,235.6,225.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMR-12-S1,3292.9,202.7,0.0,202.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMS-01,2185.6,1526.9,2194.4,2080.7,1526.9,0.0,1528.7,2112.6,2113.3,0.0,1540.2
ANA-01,2683.9,0.0,0.0,2540.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AND-01,0.0,0.0,0.0,0.0,0.0,1075.0,0.0,0.0,0.0,0.0,0.0
AND-03-S1,0.0,0.0,0.0,0.0,0.0,801.8,0.0,0.0,0.0,0.0,0.0
AND-03-S2,0.0,0.0,0.0,0.0,0.0,1092.6,0.0,0.0,0.0,0.0,0.0
AND-04,0.0,0.0,0.0,0.0,0.0,749.0,0.0,0.0,0.0,0.0,0.0
AND-05,0.0,0.0,0.0,0.0,0.0,800.1,0.0,0.0,0.0,0.0,0.0
AND-06,3080.2,2257.7,1265.1,2241.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANJ-01,4255.6,3555.0,400.8,3611.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANJ-02-S2,1361.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANJ-02-S3,276.5,0.0,0.0,0.0,0.0,0.0,0.0,270.8,273.7,0.0,0.0
ANJ-03,5478.2,3807.1,1898.9,3826.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANJ-04,1488.0,0.0,0.0,0.0,1488.0,0.0,0.0,0.0,0.0,0.0,0.0
ANJ-04-S1,1544.0,0.0,0.0,0.0,1541.2,0.0,0.0,0.0,0.0,0.0,0.0
ANJ-04-S2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANJ-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANJ-05-S1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANJ-05-S2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANJ-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANL-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANN-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANN-02,536.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANN-03-S1,1566.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANN-04-S1,499.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANN-05,3040.1,168.9,168.9,165.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANN-06,1285.2,0.0,0.0,0.0,0.0,0.0,1289.6,0.0,0.0,0.0,0.0
ANN-OBS,0.0,0.0,0.0,0.0,0.0,367.4,356.8,0.0,0.0,0.0,0.0
ANS-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANV-01,3212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANV-02,2172.6,0.0,0.0,2172.3,0.0,2172.6,2172.6,2172.6,0.0,0.0,0.0
ANV-02-S1,2537.5,2533.0,0.0,0.0,0.0,0.0,2533.5,0.0,0.0,0.0,0.0
ANV-02-S2,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANV-03,2508.5,2519.6,0.0,2519.6,0.0,0.0,1819.2,0.0,0.0,0.0,0.0
ANV-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APN-01,0.0,0.0,0.0,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APS-01,2994.1,439.1,0.0,2488.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APS-02,0.0,0.2,0.0,0.0,568.3,0.0,0.0,0.0,0.0,0.0,0.0
APS-02-S1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARC-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARV-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASD-01,1862.3,1165.7,1901.0,1496.3,1165.7,0.0,1166.6,1875.9,1876.7,0.0,1555.9
ASN-01,3724.7,1568.8,1575.4,3143.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AST-01,0.0,0.0,0.0,0.0,0.0,1263.1,0.0,0.0,0.0,0.0,0.0
AST-GT-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AST-GT-02-S2,1441.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AWG-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AWG-101,450.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AWG-101-S2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AWG-101-S3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AWG-101-S4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AWG-102,4372.5,2038.8,2053.4,3004.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AWG-103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AWG-103-S2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AWG-104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AWG-104-S2,2309.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AWG-105,1525.8,0.0,0.0,1483.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AWG-106,4229.6,0.0,0.0,0.0,0.0,0.0,232.1,0.0,0.0,229.2,0.0
AWG-106-S1,576.1,0.0,0.0,493.9,0.0,0.0,0.0,0.0,0.0,0.0,576.1
AWG-107,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AWG-108,3330.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AWG-108-S1,1135.2,1151.4,1140.0,0.0,1128.4,0.0,0.0,1147.0,1150.0,0.0,0.0
AWG-109,196.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AWG-109-S1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AWG-110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B10-02,1396.6,0.0,0.0,1068.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B10-02-S1,3928.4,1814.6,1811.0,3546.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B10-03,124.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B10-03-S1,673.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B10-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
